date,query,clicks,impressions,position
2026-08-05|古城 どこの城,古城 どこの城,0,1,47.0
2026-08-05|国宝 の 城 一覧,国宝 の 城 一覧,0,1,64.0
2026-08-05|国宝 の城 一覧,国宝 の城 一覧,0,1,60.0
2026-08-05|国宝の城 一覧,国宝の城 一覧,0,2,59.0
2026-08-05|城 名前,城 名前,0,1,67.0
2026-08-05|城 日本,城 日本,0,1,75.0
2026-08-05|城の数 日本,城の数 日本,0,1,70.0
2026-08-05|城の種類,城の種類,0,1,56.0
2026-08-05|城日本,城日本,0,1,68.0
2026-08-05|城跡一覧,城跡一覧,0,2,85.0
2026-08-05|城道,城道,0,2,2.0
2026-08-05|日本 名城,日本 名城,0,1,69.0
2026-08-05|日本 名城 100,日本 名城 100,0,1,56.0
2026-08-05|日本 山城,日本 山城,0,1,55.0
2026-08-06|100 名城,100 名城,0,2,73.0
2026-08-06|100名城,100名城,0,2,45.0
2026-08-06|100名城マップ,100名城マップ,0,1,115.0
2026-08-06|shirodo,shirodo,0,2,1.5
2026-08-06|お 城 ランキング 100,お 城 ランキング 100,0,1,68.0
2026-08-06|全国 城 一覧,全国 城 一覧,0,2,54.0
2026-08-06|古城 どこの城,古城 どこの城,0,1,47.0
2026-08-06|国宝 の 城 一覧,国宝 の 城 一覧,0,1,64.0
2026-08-06|国宝 の城 一覧,国宝 の城 一覧,0,1,60.0
2026-08-06|国宝の城 一覧,国宝の城 一覧,0,2,59.0
2026-08-06|城 名前,城 名前,0,1,67.0
2026-08-06|城 日本,城 日本,0,1,75.0
2026-08-06|城の数 日本,城の数 日本,0,1,70.0
2026-08-06|城の種類,城の種類,0,1,56.0
2026-08-06|城日本,城日本,0,1,68.0
2026-08-06|城跡一覧,城跡一覧,0,2,85.0
2026-08-06|城道,城道,0,2,2.0
2026-08-06|日本 100 名城,日本 100 名城,0,1,57.0
2026-08-06|日本 名城,日本 名城,0,1,69.0
2026-08-06|日本 名城 100,日本 名城 100,0,1,56.0
2026-08-07|100 名城,100 名城,0,1,55.0
2026-08-07|100名城,100名城,0,2,45.0
2026-08-07|100名城マップ,100名城マップ,0,1,115.0
2026-08-07|shirodo,shirodo,0,2,1.5
2026-08-07|お 城 ランキング 100,お 城 ランキング 100,0,1,68.0
2026-08-07|全国 城 一覧,全国 城 一覧,0,2,54.0
2026-08-07|古城 どこの城,古城 どこの城,0,1,47.0
2026-08-07|国宝 の 城 一覧,国宝 の 城 一覧,0,1,64.0
2026-08-07|国宝 の城 一覧,国宝 の城 一覧,0,1,60.0
2026-08-07|国宝の城 一覧,国宝の城 一覧,0,2,59.0
2026-08-07|城 名前,城 名前,0,1,67.0
2026-08-07|城 日本,城 日本,0,1,75.0
2026-08-07|城の数 日本,城の数 日本,0,1,70.0
2026-08-07|城の種類,城の種類,0,1,56.0
2026-08-07|城日本,城日本,0,1,68.0
2026-08-07|城跡一覧,城跡一覧,0,2,85.0
2026-08-07|城道,城道,0,3,2.0
2026-08-07|日本 100 名城,日本 100 名城,0,1,57.0
2026-08-07|日本 名城,日本 名城,0,1,69.0
2026-08-07|日本 名城 100,日本 名城 100,0,1,56.0
"2026-08-08|""龍勢"" ""作成中"" ""城めぐり"" アプリ","""龍勢"" ""作成中"" ""城めぐり"" アプリ",0,1,10.0
"2026-08-08|""龍勢作成中"" 城めぐり アプリ","""龍勢作成中"" 城めぐり アプリ",0,1,11.0
2026-08-08|100 名城,100 名城,0,1,55.0
2026-08-08|100名城,100名城,0,3,36.3
2026-08-08|100名城マップ,100名城マップ,0,1,115.0
2026-08-08|shirodo,shirodo,0,2,1.5
2026-08-08|お 城 ランキング 100,お 城 ランキング 100,0,1,68.0
2026-08-08|全国 城 一覧,全国 城 一覧,0,2,54.0
2026-08-08|国宝 の 城 一覧,国宝 の 城 一覧,0,1,64.0
2026-08-08|城 名前,城 名前,0,1,67.0
2026-08-08|城 日本,城 日本,0,1,75.0
2026-08-08|城の数 日本,城の数 日本,0,1,70.0
2026-08-08|城の種類,城の種類,0,1,56.0
2026-08-08|城日本,城日本,0,1,68.0
2026-08-08|城道,城道,0,3,2.0
2026-08-08|日本 100 名城,日本 100 名城,0,1,57.0
